Q,A
인권과 현대사회 ㄱㅎㅇ 교수님 중간고사 주제에 대해서 두 주장 다 쓰고 내 생각도 쓰는거임? 아니면 둘 중에 어느입장인지 내 생각 쓰는거임?,후자일껄?
기숙사 사는데 어디에 버려야 합니까?,국물만 있다면 본인 화장실 변기에 버리고 찌꺼기 같은게 있다싶으면 인재동인경우 취사실 음쓰통에 버리거나 긱사 식당 뒤쪽에 음쓰 버리는곳 있으니 참고
강의계획서도 변동 없는 수업은 뭐임? 그냥 비대면 계속 하겠다는 거야?,오늘 불금이라 ‘담주에 공지하지 뭐’ 라는 마인드
번호 누르고 손을 그 기계에 갖다대잖아그거 뭐 인식하는거야…? 아는 사람있으면 댓글 좀…,생체정보
3일후 전공시험 인데지금부터 벼락치기하면 A가능할까요..?,낼부터해도 ㅆㄱㄴ
예쁜 애들 많음?,많은데 너 좋아할 여자는 없어
영문과 과잠 남자친구 있어요?,너가 왜 여기서 나와
시험을봐? 왜?,삭제된 댓글입니다.
오랜만에 가는학교라 두근두근 설레서 꾸미고 나왔는걸? 나만그래..?,오늘시험 욕하면서 밥뭐먹지하는 느낌으로 입고옴
토론대회 참가만 하실분 있나요??,참가만은 뭔가요..?
내일 미적 시험보는데 등록 안한 차는 n13동쪽에 있는 문으로 못 들어가나요?,넹
이 식을 게산해도 답이 15.7x10^-11이 안 나오는데exp가 따로 값이 있나요?,exp가 그 e 단위아닌가요. 그래서 exp[3]이면 e^3  이렇게 하면 답 나올텐데
이번에도 적분표 주려나?,적분표..?
따뜻한 날씨인가?,딱 적절한듯 패딩은 아직이고
백신2차가 대면 수업시간이랑 겹치는데 교수님한테 연락드리고 맞고 병원에서 확인증출력해서 담주 수업때 드리면 되나?,학과사무실에연락해보세요
학교 인적사항에도 자동 반영되나요?,아니요
전 딱히 안입을거같아서 안샀는데 살걸 그랬나요,ㄴㄴ 사고 싶으면 내년에 새내기들 살 때 살 수 있냐고 물어봥
하면 그래도 비대면보다 재미있어지겠지?비대면보다 재미없으면 안가고대면하면 애들 다 공부만 할거 같은데그러면 진짜 통학만 길고 비대면보다 노잼일듯,재미라는건 상대적인 거 아님? 강의력 좋으신 교수님 강의는 무조건 대면이 낫긴 함 ㅇㅇ
접수 안 했으면 지금 못 보나요?,아마도?
기술특이점 노화의 종말 과연 올까?,왜 2045년임
집에 터치나 센서식 쓰레기통 쓰는 사람 있니? 확실히편해?? 보통 10만원 이내하돈데 돈값하나,사이버 마루쉐
중급회계 ㄹㅇ 대면으로 바뀌냐?바뀌면 개오반디,교수도 모른다고 일단 알아두세용한걸 우리가 알리가..
점수가 어디뜨냐?,그니까요 저도 안 뜨는데ㅠ
아직 링크 없는거 맞아???,오후반이야?
이번에는 문제풀이한 a4종이 제출안해도 되는거야?,그런말없어서 난 제출 안하려고
시험범위 어디까지였나요..?,7주차?
선택지 두개 고르는거,뭐 골랐어̆̎.?
어디서 노나요?!?,은행동
이미 한번보내고 그 뒤 회신메일의경우는학번 이름 ~~입니다 로 시작 안해도됨?,그치
교수님들도 점수 알 수 있나? 어차피 점수 개 낮을거같아서 그냥 찍으려고 하는데,교수님이 말씀해주셨는데 시험 봤는지 여부만 알려주고 점수는 모르신대
상중하??,그 교수님 시험은 항상 50점 넘으면 잘 맞은거임
발토 토론하는거 참가만 하는거 하실 분 계신가요?,발토토론이머임틀딱헌내기여서 모름
정통과인데 저도 수강해서 들을 수 있는건가요?학점용으로,안된다고 써있는게있을거임
학교주변 어디가 젤 좋음?,시호루 사라지면 자퇴할 이유가 하나 늘어남
한밭대 전 버스 정류장에서 내리는 게 좋나요?,네
대면해서 타지에 사는사람들 학교 등교해야하면방하나 월세받고 룸메 받을까나?,궁동이면 차라리 학교근처잡지
이거 제대로 적용 된거 맞음?,? 빨리 전화해봐
대학영어 오티 첨 할 때 교수님이 뭐 가져오면 딴 학생들한테도 다 나눠줘야한다고 하셨었나?,농담이시겟지
대면 한다는 소리 있었나요...?,공지 못본거같고 이분 원래 공지를 잘 안하심
들었던 사람들아 많이 어려웠음?,꽤 어려웠어요
새로 사려고 하는데 15인치 괜찮을까,나 무겁고 성능 개빵빵한거 샀다가 후회중 그냥 적당하고 가벼운게 최고야!!
중국문화의 이해 중간고사 문제 어떤식으로 나온다고 말씀해주셨나요?,"단답형, 서술형이라고만 알려주셨어요ㅜㅜ"
화 오후반 아직 셤 아니고 다음주 화요일 맞지??? 공지도 없으셔 ㅠㅠ,수요일 오전반인데요 다음주에 시험쳐요 그리고 중간 이후는 비대면이래요
다른게 아니라드랍한거 취소할수있나 문의라도 하려고하는데 한번도 해본적이 없어서 어디에 해야할지 모르겠어조직도에 있는거 보고 전화하면 되나..?,대충 전화하면 알아서 그쪽으로 바꿔주지않을까
어떻게 해서든 비대면하고싶은데어떻게 못해????,코로나 걸리면 그 수업 비대면됨
월요일 오전수업듣고 야간수업 듣는데야간수업 비대면 유지한다 하셧거든?? 아니겠지?아니겠지??아니겠지??,대면 ㅅㄱ
ㅇㅈㅅ교수님 답안 분량 어느정도로 썼어?,삭제된 댓글입니다.
평균에서 크게 안 벗어나면 학점 얼마인가요? B+나오나..?,ㅇㅇ
지금 돈까지 입금한 상태인데 호실은 들어가는 당일날 가야 알려주는거야? 아님 그전에 따로 배정 문자가 오나?,나는 키 받으면서 알려주셨어
하나하나 과사랑 교수님께 여쭤보고세과목 남기고 철회했는데갑자기 대면..?,ㅋㅋㅋㅋㅋ....울학교도 참.
한문제 풀고 노닥거리고 있었는데결국 한문제밖에 못품 나 망했지?,응겁나쉬웠음
나만 절반도 못했니,나 딱 절반함...ㅠㅠㅠㅜ
과제여서 신청은 했는데 점수는 상관없나요?,ㅇㅇ
너무쉽지않음? 만점자많을거같은데,ㅇㅇ
나만 반팔입었네ㅜㅠ,낮기온 17도임
위드코로나면 마스크 안써도 되는거 아님? 짜피 코로나 평생갈거고 마스크는 평생쓸거 아니면 대면수업 할 때 뭐하러 씀,아님 위드코로나해도 마스크는 더 써야지
대면하려나? 대면으로 들어보신 선배님들 계신가요??,옛날엔 대면 했죠
스튜어트 미적분? 그두꺼운책 들고 다니나요??아님 필기할것만 가져가나요,대면해본적 없지만 안들고갈거임 그걸 어케가져가
급하게 미용실 가야되는데 ㅠㅠ,남자? 여자?
같은 교수님이 다른시간에 강의하시는 동일강의 듣는 친구한테 시험에서 뭐 나왔는지 왜 알려주는거임? (진짜 모름)아무리 본인이 성적장학금 노릴 생각도 없고 실력도 안된다쳐도 다른 사람한텐 민폐라는걸 모르는건가?그 정보 공유하던 놈들이 처음보는 얼굴들이라 누가 누구한테 알려준건진 나도 모르겠는데 n4동 앞 흡연장에서 봤으니 정보통신 아니면 컴공이겠지?,물어보길래
아.. 내년초에 군대가야하는데..,긱사 ㄱ ㅡㄱ
중간고사 다들 몇점 맞았어..?,너는?
대면되는거야??? 10주차 아니고?? 진짜 이러면 걍 9주차수업 다 째게,ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ 현명한 선택이다
비대면충들 절망하고 있을 때 저라도 빨리 방 구해서 들어갈라고요,전세는 지금 없음
담주부터야 담달부터야??,담주
아 근데 개비싸던데 ㄹㅇ,긱사살빠에 자취하는게 나을수도
제발 일찍 공지좀...,수업은 수업대로하고 다끝나고 공지만 30분한다 ㄹㅇ
3번? 4번?,4
알려줄사람,생김새가 다름
코로롱땜에 다 막음?,이제 쓸 수 있지 않을까? 전면대면 한다는데
왜 갑자기 대면으로 강력하게 밈?,근데 원래 밀었음 다른 국립대 대면한다고 뉴스 한두 번 나온것도 아니고
훔쳐갈게 없어서 몇천원 하는 편의점 음식을 쎄비네,대학생: 돈없는 백수
"정확하게 통화내용 말해줌나: 지금 교수님들한테 11월1일 전면대면공지 재량없이 강행 공지가 떨어진 것이 맞는가?인문교양학부 행정실: 그런 건 들어본 적 없다. 대면 비대면 관련해서 공지가 2번째로 내려온 건 있는데 하겠다고 말겠다고는 아직 내려오지 않았다. 그건 처음 들어보는 이야기다,나: 그럼 11월 1일 전면 대면같은건 공지가 따로 없었던 것이 확실한가? 인문교양 행정실: 대면 비대면에 대해서는 따로 조사 중에 있다. 아직 공지가 나간 것은 아니다.이렇게말하는데 그럼 대체 전면대면공지는 뭐임?",으응????뭐지??
나는 경상도 출신인데 쌈장인데,초장이나 소금
2시 30분에 들어가는거여?,ㅇㅇ
주제에 대해 간단히 생각정도만 해두면 시험때 충분히 쓸수 있을것 같아서 준비 안했는데 괜찮을까다들 어떻게 준비했어?,주제가 하나면 꼼꼼히 하려고했는데 하나 하기도 벅차서 세개 대충 감만익힘.. 결론은 ㅈ댐
오피셜뜸?,몰피셜은 뜸
교수님을 믿어야 겠지..?제발..힘내줘요,대면 좋아하시는 교수님도 많아서 교바교인듯
예약 안하고 그냥 보건소가면 해줌?,엉 줄길면 기다릴순 있는데 예약은 안해도됨
코로나 걸려도 ㅈ밥아님? 걍 열나고 기침 좀 하고 넘어가는거니까 감염자수 의미 없을듯,그...유럽은 위드코로나 했다 다시 방역 강화했어...
대면인거야 그럼???,ㅇㅇ 바로 담주인 게 ㅋㅋ
이제 영상 돌려보기를 못한다고?,특히 공대가 ㅈ됐음ㅋㅋㅋ
대면 했는데 내가 코로나 확진되면 치료 받으러 병원 가는 동안 출석은 인정해주나? 시험기간에 걸리면 대체과제 주는 건가? 교바교인가,세번까지는 결석 인정해주는데 네번부터는 학교에서 책임 안져줌 ㅋㅋㅋㅋ 휴학해야됨
어라.. 어째서 눈물이?,어라...와따시...왜 눈물이
좋은 방이라도 빨리 구하는게 낫지 않나?,맞지
주말동안 운전 연습해서 고속도로 쌉가능?,아니..
통학 6시간걸리는데다 하루통학비용에 식비까지 4만원은들어서 지금 피눈물흘리는중인데 뭐? 전면 대면전환? 환장하겠네 에라이 씹ㅋㅋㅋㅋㅋㅋ,방 찾앙
홈페이지에도없는데,내말이 갑자기 왜이래
볼펜사려구 하는디,ㅇㅇ
민주주의 사회에서 공산주의식으로 하는게 맞냐???아.. 이미 현 정부가 공산주의구나!,이건 또 뭔 개소리지 ㅋㅋㅋ
몇개만 공지받은거같던데 뭔 수업임?전공교수들은 아무말도 없는데 아직 뭐지,오늘 아침에 공문 내려왔데
내가 신청한 과목들은 아예 오티할 때 중간고사 이후는 대면이라 생각하고 있으라 해서 하려나보다 했는데 에타 보니 처음부터 올 비대면이라고 전제한 과목들이 많나 보네...?,당장 이번주에 시험보고 비대면 못박은 과목들도 많았는데
하나도 빠짐없이?,그렇게 보면 됨
공지 언제 올라온대???,이번 주말 지나고
그럼 이것들 다 날라가는건가? 교수님 극대노하시겠네,아 ㅋㅋ 우린 14주차까지 올리셨다고~
어딘가요?? 기숙사나 학교 안 말구요ㅠㅠ,프린터 양 좀 많아요....200장 정도?
강의실 부족한데 강제로 대면? 밭냥이 옆에서 수업들어야지 뭐 ㅋㅋ,ㅋㅋㅋㅋ 1층에서 야외수업 거리두기 지대로네
저번에 카톡 문의방으로학생들의견을 묻지도않고 교수랑 학교측만 결정하면 학생들은 그냥 따라야하냐고 문의남겼더니읽씹하고ㅋㅋㅋㅋㅋ지금은 뭐하는데 ?...,응애 총학 이제 바껴서 손 놓을거야~
당신들..할 수 있어..비대면..유지해줘..,어림도없지 ㅋㅋㅋㅋㅋ
안 보이는데...?,교수님만 공문 받음
평소에는 교수재량이라고 핑계대더니 갑자기대면 강제하는 이유가 뭐임?,예상보다 비대면하는 강의가 많아서 대면 강행하나봄
야 개 ㅈ같은 넘들아 30분도 안되는 수업을 들으러 학교를 가야하냐??심지어 아침9시 수업인데?,미치겟다 진로설계 대면ㅋㅋㅋㅋㅋㅋㅋㅋㅋ
이렇게 전면대면으로 바꾸는게 말이 돼?,대학본부는 그런거 몰라~~~~~~~~~
이것도 안 돼 저것도 안 돼 본부가 납득할만한 사유가 있긴 함?,"강의실,,작은거,,"
왜 자꾸 네트워크 불안정 뜨냐,거기 인터넷 상태가 불안정한거임
아침 10시까지 통학? 벌써 속이 울렁거리네,ㄱㄱㅇ교수님?
이번주에 비대면 한다고 공지뜬 강의도다음주면 대면 된다는 거지?,?
히터 틀어주나?,환기 해야돼서 히터 무의미할듯
갑자기 대면전환해버리네 뭐임?,중간 이후에 바뀔수있다고 계속 공지해오지 않음?
모의토익 말고 진짜 토익 결과 내도 되는거야?,삭제된 댓글입니다.
대면하면 컴수업은 컴퓨터실(?)에서 하나용??.. 노트북 하나 사는게 낫겠죠?,노트북이나 태블릿!!
본론에서 자기생각 쓰면 안되고 객관적 근거만 써야되는거야? 내 의견은 서론 결론에서만 써야되나..?,일단 쓰고봄ㅋㅋㅋㅋㅋ
어디에 어떻게 낸다는 거야…? 열한 시에 뭐가 딱 올라오나?,후기점..
제목 그대로 오늘 아침부터 버스 오고 하던데 무슨 날이에요?,중간고사라는 행사를 해요
왜이래요.....?,밭대라서
이건 그냥 대면하라는 뜻 아님???ㅅㅂㅋㅋㅋㅋㅋ,이게 말이야...?
이게 지금 뭐하는거임??,왜??나오후반인뎅..
휴대폰이랑 노트북 두개로 들어갈 수 있나요 ??,두개로 안 들어가면 문제 풀 수 있는 방법이 없지 않나요?? 어떻게 해야되는지...
해본사람 머리 많이 빠져?,해본 사람은 아닌데 미용사분한테 붙임머리 하면 머리 많이 빠진다고 안좋다고 들은 적은 있음
과제 다들 양 얼마나 채웠어?,아직 시작도안함 … 너는?
현대정치사 시험 구글로 보는 건가요 ?,링크같은거 주신적 없지?? 나도 기다리고있는데..
두꺼운 니트정도면 괜찮나요?,넹 근데 밤에는 좀 추울거에용
이제 대면이라고 하셨었나..??,월요일 강독시간에 알려준다고 했어요강독 안들으면 따로 공지한다 했으니 기다려야함
10시인거야 1시인거야,1시 다시 정정됨
ㅅㅈㅅ교수님 파이썬 10시 대면 수업인데 한 30분 전에 들어가서 공부해도 되나요?,작년에는 열려있었어요!
